id;name;type;life;peer_id;peer_name;misc;zvalue;geom
929;P929;MINIMUM;1.000000;930;P930;"name:P929|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P930|z:2457.000000";2457.000000;"POINT (649162.500000 146437.500000)"
930;P930;SADDLE;1.000000;929;P929;"name:P930|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P929|z:2458.000000";2458.000000;"POINT (649187.500000 146437.500000)"
931;P931;SADDLE;2.000000;932;P932;"name:P931|type:SADDLE|life:2.000000|pair-type:H1|paired-to:P932|z:2458.000000";2458.000000;"POINT (652187.500000 143612.500000)"
932;P932;MAXIMUM;2.000000;931;P931;"name:P932|type:MAXIMUM|life:2.000000|pair-type:H1|paired-to:P931|z:2460.000000";2460.000000;"POINT (652212.500000 143612.500000)"
933;P933;MINIMUM;1.000000;934;P934;"name:P933|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P934|z:2458.000000";2458.000000;"POINT (649212.500000 146537.500000)"
934;P934;SADDLE;1.000000;933;P933;"name:P934|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P933|z:2459.000000";2459.000000;"POINT (649212.500000 146512.500000)"
935;P935;SADDLE;1.000000;936;P936;"name:P935|type:SADDLE|life:1.000000|pair-type:H1|paired-to:P936|z:2458.000000";2458.000000;"POINT (649262.500000 146562.500000)"
936;P936;MAXIMUM;1.000000;935;P935;"name:P936|type:MAXIMUM|life:1.000000|pair-type:H1|paired-to:P935|z:2459.000000";2459.000000;"POINT (649287.500000 146562.500000)"
937;P937;MINIMUM;0.640000;938;P938;"name:P937|type:MINIMUM|life:0.640000|pair-type:H0|paired-to:P938|z:2458.000000";2458.000000;"POINT (649287.500000 146987.500000)"
938;P938;SADDLE;0.640000;937;P937;"name:P938|type:SADDLE|life:0.640000|pair-type:H0|paired-to:P937|z:2458.639893";2458.639893;"POINT (649287.500000 146962.500000)"
939;P939;SADDLE;3.000000;940;P940;"name:P939|type:SADDLE|life:3.000000|pair-type:H1|paired-to:P940|z:2458.000000";2458.000000;"POINT (639087.500000 156287.500000)"
940;P940;MAXIMUM;3.000000;939;P939;"name:P940|type:MAXIMUM|life:3.000000|pair-type:H1|paired-to:P939|z:2461.000000";2461.000000;"POINT (639087.500000 156312.500000)"
941;P941;MINIMUM;1.640000;942;P942;"name:P941|type:MINIMUM|life:1.640000|pair-type:H0|paired-to:P942|z:2459.000000";2459.000000;"POINT (649162.500000 146512.500000)"
942;P942;SADDLE;1.640000;941;P941;"name:P942|type:SADDLE|life:1.640000|pair-type:H0|paired-to:P941|z:2460.639893";2460.639893;"POINT (649162.500000 146487.500000)"
943;P943;MINIMUM;1.040000;944;P944;"name:P943|type:MINIMUM|life:1.040000|pair-type:H0|paired-to:P944|z:2459.000000";2459.000000;"POINT (649262.500000 146637.500000)"
944;P944;SADDLE;1.040000;943;P943;"name:P944|type:SADDLE|life:1.040000|pair-type:H0|paired-to:P943|z:2460.040039";2460.040039;"POINT (649312.500000 146637.500000)"
945;P945;SADDLE;1.000000;946;P946;"name:P945|type:SADDLE|life:1.000000|pair-type:H1|paired-to:P946|z:2459.009033";2459.009033;"POINT (649187.500000 146487.500000)"
946;P946;MAXIMUM;1.000000;945;P945;"name:P946|type:MAXIMUM|life:1.000000|pair-type:H1|paired-to:P945|z:2460.009033";2460.009033;"POINT (649212.500000 146487.500000)"
947;P947;MINIMUM;1.000000;948;P948;"name:P947|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P948|z:2460.000000";2460.000000;"POINT (649187.500000 146562.500000)"
948;P948;SADDLE;1.000000;947;P947;"name:P948|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P947|z:2461.000000";2461.000000;"POINT (649212.500000 146562.500000)"
949;P949;SADDLE;1.000000;950;P950;"name:P949|type:SADDLE|life:1.000000|pair-type:H1|paired-to:P950|z:2460.000000";2460.000000;"POINT (639037.500000 156337.500000)"
950;P950;MAXIMUM;1.000000;949;P949;"name:P950|type:MAXIMUM|life:1.000000|pair-type:H1|paired-to:P949|z:2461.000000";2461.000000;"POINT (639062.500000 156337.500000)"
951;P951;MINIMUM;1.000000;952;P952;"name:P951|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P952|z:2461.000000";2461.000000;"POINT (640412.500000 141537.500000)"
952;P952;SADDLE;1.000000;951;P951;"name:P952|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P951|z:2462.000000";2462.000000;"POINT (640412.500000 141512.500000)"
953;P953;MINIMUM;1.000000;954;P954;"name:P953|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P954|z:2461.000000";2461.000000;"POINT (649137.500000 146537.500000)"
954;P954;SADDLE;1.000000;953;P953;"name:P954|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P953|z:2462.000000";2462.000000;"POINT (649137.500000 146512.500000)"
955;P955;MINIMUM;0.640000;956;P956;"name:P955|type:MINIMUM|life:0.640000|pair-type:H0|paired-to:P956|z:2463.000000";2463.000000;"POINT (649112.500000 146562.500000)"
956;P956;SADDLE;0.640000;955;P955;"name:P956|type:SADDLE|life:0.640000|pair-type:H0|paired-to:P955|z:2463.639893";2463.639893;"POINT (649137.500000 146562.500000)"
957;P957;MINIMUM;0.720000;958;P958;"name:P957|type:MINIMUM|life:0.720000|pair-type:H0|paired-to:P958|z:2464.639893";2464.639893;"POINT (640387.500000 141712.500000)"
958;P958;SADDLE;0.720000;957;P957;"name:P958|type:SADDLE|life:0.720000|pair-type:H0|paired-to:P957|z:2465.360107";2465.360107;"POINT (640387.500000 141687.500000)"
959;P959;SADDLE;9.360000;960;P960;"name:P959|type:SADDLE|life:9.360000|pair-type:H1|paired-to:P960|z:2469.000000";2469.000000;"POINT (651012.500000 141387.500000)"
960;P960;MAXIMUM;9.360000;959;P959;"name:P960|type:MAXIMUM|life:9.360000|pair-type:H1|paired-to:P959|z:2478.360107";2478.360107;"POINT (651062.500000 141387.500000)"
961;P961;SADDLE;0.640000;962;P962;"name:P961|type:SADDLE|life:0.640000|pair-type:H1|paired-to:P962|z:2471.360107";2471.360107;"POINT (640337.500000 141712.500000)"
962;P962;MAXIMUM;0.640000;961;P961;"name:P962|type:MAXIMUM|life:0.640000|pair-type:H1|paired-to:P961|z:2472.000000";2472.000000;"POINT (640337.500000 141687.500000)"
963;P963;SADDLE;1.640000;964;P964;"name:P963|type:SADDLE|life:1.640000|pair-type:H1|paired-to:P964|z:2476.360107";2476.360107;"POINT (640462.500000 141837.500000)"
964;P964;MAXIMUM;1.640000;963;P963;"name:P964|type:MAXIMUM|life:1.640000|pair-type:H1|paired-to:P963|z:2478.000000";2478.000000;"POINT (640437.500000 141812.500000)"
965;P965;MINIMUM;0.720000;966;P966;"name:P965|type:MINIMUM|life:0.720000|pair-type:H0|paired-to:P966|z:2477.639893";2477.639893;"POINT (640812.500000 141762.500000)"
966;P966;SADDLE;0.720000;965;P965;"name:P966|type:SADDLE|life:0.720000|pair-type:H0|paired-to:P965|z:2478.360107";2478.360107;"POINT (640812.500000 141737.500000)"
967;P967;MINIMUM;1.000000;968;P968;"name:P967|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P968|z:2479.639893";2479.639893;"POINT (640037.500000 141687.500000)"
968;P968;SADDLE;1.000000;967;P967;"name:P968|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P967|z:2480.639893";2480.639893;"POINT (640037.500000 141662.500000)"
969;P969;MINIMUM;1.360000;970;P970;"name:P969|type:MINIMUM|life:1.360000|pair-type:H0|paired-to:P970|z:2480.000000";2480.000000;"POINT (646262.500000 143912.500000)"
970;P970;SADDLE;1.360000;969;P969;"name:P970|type:SADDLE|life:1.360000|pair-type:H0|paired-to:P969|z:2481.360107";2481.360107;"POINT (646287.500000 143912.500000)"
971;P971;SADDLE;5.000000;972;P972;"name:P971|type:SADDLE|life:5.000000|pair-type:H1|paired-to:P972|z:2485.000000";2485.000000;"POINT (637062.500000 156012.500000)"
972;P972;MAXIMUM;5.000000;971;P971;"name:P972|type:MAXIMUM|life:5.000000|pair-type:H1|paired-to:P971|z:2490.000000";2490.000000;"POINT (637062.500000 156037.500000)"
973;P973;MINIMUM;1.000000;974;P974;"name:P973|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P974|z:2489.000000";2489.000000;"POINT (646212.500000 144087.500000)"
974;P974;SADDLE;1.000000;973;P973;"name:P974|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P973|z:2490.000000";2490.000000;"POINT (646237.500000 144087.500000)"
975;P975;SADDLE;7.640000;976;P976;"name:P975|type:SADDLE|life:7.640000|pair-type:H1|paired-to:P976|z:2493.360107";2493.360107;"POINT (637337.500000 151987.500000)"
976;P976;MAXIMUM;7.640000;975;P975;"name:P976|type:MAXIMUM|life:7.640000|pair-type:H1|paired-to:P975|z:2501.000000";2501.000000;"POINT (637312.500000 152012.500000)"
977;P977;MINIMUM;1.000000;978;P978;"name:P977|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P978|z:2495.000000";2495.000000;"POINT (646212.500000 144187.500000)"
978;P978;SADDLE;1.000000;977;P977;"name:P978|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P977|z:2496.000000";2496.000000;"POINT (646237.500000 144187.500000)"
979;P979;MINIMUM;3.387692;980;P980;"name:P979|type:MINIMUM|life:3.387692|pair-type:H0|paired-to:P980|z:2495.639893";2495.639893;"POINT (648912.500000 147937.500000)"
980;P980;SADDLE;3.387692;979;P979;"name:P980|type:SADDLE|life:3.387692|pair-type:H0|paired-to:P979|z:2499.027588";2499.027588;"POINT (648962.500000 147662.500000)"
981;P981;MINIMUM;3.000000;982;P982;"name:P981|type:MINIMUM|life:3.000000|pair-type:H0|paired-to:P982|z:2496.000000";2496.000000;"POINT (640462.500000 142212.500000)"
982;P982;SADDLE;3.000000;981;P981;"name:P982|type:SADDLE|life:3.000000|pair-type:H0|paired-to:P981|z:2499.000000";2499.000000;"POINT (640462.500000 142187.500000)"
983;P983;MINIMUM;2.000000;984;P984;"name:P983|type:MINIMUM|life:2.000000|pair-type:H0|paired-to:P984|z:2496.000000";2496.000000;"POINT (646137.500000 143987.500000)"
984;P984;SADDLE;2.000000;983;P983;"name:P984|type:SADDLE|life:2.000000|pair-type:H0|paired-to:P983|z:2498.000000";2498.000000;"POINT (646162.500000 143987.500000)"
985;P985;MINIMUM;1.000000;986;P986;"name:P985|type:MINIMUM|life:1.000000|pair-type:H0|paired-to:P986|z:2497.000000";2497.000000;"POINT (646162.500000 144137.500000)"
986;P986;SADDLE;1.000000;985;P985;"name:P986|type:SADDLE|life:1.000000|pair-type:H0|paired-to:P985|z:2498.000000";2498.000000;"POINT (646187.500000 144137.500000)"
